School Name,State Name [Public School] Latest available year,Full-Time Equivalent (FTE) Teachers [Public School] 2012-13,Full-Time Equivalent (FTE) Teachers [Public School] 2011-12,Full-Time Equivalent (FTE) Teachers [Public School] 2010-11,Pupil/Teacher Ratio [Public School] 2012-13,Pupil/Teacher Ratio [Public School] 2011-12,Pupil/Teacher Ratio [Public School] 2010-11,School ID - NCES Assigned [Public School] Latest available year
ELSINORE ELEMENTARY,California,23,22,–,25.09,24.32,–,060002709490
ELSINORE HIGH,California,89.05,91.96,–,25.56,25.27,–,060002709489
ELSINORE MIDDLE,California,29.9,30.9,–,23.51,24.21,–,060002709493
ELVERTA ELEMENTARY,California,9,9.4,–,21,18.51,–,061260001424
ELWIN ELEMENTARY,California,20,23,–,24.55,21.65,–,060369000329
ELWOOD J. KEEMA HIGH,California,45.25,2.05,–,13.61,349.76,–,060133207240
ELYSIAN HEIGHTS ELEMENTARY,California,11,10,–,21.27,23.7,–,062271002985
EMBLEM ACADEMY,California,7,7,–,31.29,25.29,–,063597006154
EMELITA ACADEMY CHARTER,California,20,19,–,23.25,22.21,–,062271002986
EMERALD MIDDLE,California,31,29.4,–,20.23,22.24,–,060681000612
EMERSON (RALPH WALDO) ELEMENTARY,California,22.5,25.5,–,26.4,23.49,–,061494001900
EMERSON ELEMENTARY,California,23,22,–,27.04,27.18,–,060962000980
EMERSON ELEMENTARY,California,11.75,11.25,–,24.51,25.87,–,060474000436
EMERSON ELEMENTARY,California,14,13,–,23.14,21.38,–,062805004260
EMERSON ELEMENTARY,California,29.5,27.65,–,27.15,25.39,–,063315005136
EMERSON MIDDLE,California,30.21,30.2,–,28.04,26.32,–,060363000297
EMERSON MIDDLE,California,28.5,27.5,–,23.37,23.67,–,063132004839
EMERSON PARKSIDE ACADEMY,California,28,29,–,25.39,22.17,–,062250002712
EMERSON/BANDINI ELEMENTARY,California,41,42,–,14.61,15.55,–,063432005451
EMERY PARK ELEMENTARY,California,20.66,22.66,–,27.25,24.4,–,060015310935
EMERY SECONDARY,California,13.8,20,–,16.16,13.45,–,061263001426
EMERYVILLE PRESCHOOL STUDENTS,California,–,†,†,–,†,†,061263013526
EMIGRANT GAP ELEMENTARY,California,1,1,–,2,3,–,060225001428
EMILIE J. ROSS MIDDLE,California,21.17,21.5,–,22.39,21.16,–,060006002208
EMILIE RITCHEN ELEMENTARY,California,27,26,–,27.93,29.35,–,062922001855
EMMA C. SMITH ELEMENTARY,California,31.26,31.26,–,22.97,23.22,–,062211002624
EMMA W. SHUEY ELEMENTARY,California,21,21,–,26.9,27.19,–,063357005182
EMMA WILSON ELEMENTARY,California,27.96,28,–,23.18,22.89,–,060837001947
EMMERTON ELEMENTARY,California,18,20,–,31.61,28.2,–,063417005359
EMMETT S. FINLEY ELEMENTARY,California,25,26.5,–,21.36,21.02,–,061743002184
EMORY ELEMENTARY,California,25,26,–,25.92,26.58,–,063738006318
EMPEROR ELEMENTARY,California,23,24.25,–,28.61,26.68,–,063898006535
EMPIRE ELEMENTARY,California,24.5,27,–,22.24,22.3,–,061269001430
EMPIRE GARDENS ELEMENTARY,California,18.9,15.9,–,23.81,25.85,–,063459005711
EMPIRE OAKS ELEMENTARY,California,24.25,26.6,–,27.42,26.99,–,061389010355
EMPRESA ELEMENTARY,California,28,28,–,25.57,25.61,–,064119009652
ENADIA TECHNOLOGY ENRICHED CHARTER,California,9,8,–,25,27.63,–,062271012217
ENCANTO ELEMENTARY,California,39.6,41,–,13.54,14.44,–,063432005452
ENCHANTED HILLS ELEMENTARY,California,23,23,–,24.74,24.17,–,063018010584
ENCINA PREPARATORY HIGH,California,43.24,39.7,–,21.72,28.36,–,063462005778
ENCINAL ELEMENTARY,California,4,4,–,20.5,20.75,–,062205002613
ENCINAL ELEMENTARY,California,43.2,42.6,–,17.48,18.19,–,062457003682
ENCINAL HIGH,California,48.75,49.3,–,21.64,22.09,–,060177000045
ENCINITA ELEMENTARY,California,13.85,15.72,–,27.73,25.76,–,063357005178
ENCINO CHARTER ELEMENTARY,California,23,22,–,24.65,24.73,–,062271002990
ENCOMPASS ACADEMY ELEMENTARY,California,11.45,11,–,27.25,23.64,–,062805010686
ENCORE JR./SR. HIGH SCH FOR THE PERF AND VISUAL AR,California,28.01,37.92,–,38.34,25.16,–,060001412375
ENDEAVOR ALTERNATIVE,California,3.76,3.15,–,40.69,27.3,–,060813005472
ENDEAVOR COLLEGE PREPARATORY CHARTER,California,18.75,16,–,17.17,16.25,–,062271012536
ENDEAVOUR ELEMENTARY,California,30.18,31.43,–,25.05,24.15,–,061470004526
ENDEAVOUR MIDDLE,California,37.72,36.25,–,20.84,22.32,–,062088010826
ENDEAVOUR SCHOOL OF EXPLORATION,California,25.16,24.16,–,31.92,31.83,–,064104011111
ENDERS ELEMENTARY,California,22,23,–,25.55,25.35,–,061488001839
ENGR AND TECH ACAD AT ESTEBAN E. TORRES HIGH #3,California,19.5,19.02,–,23.95,25.45,–,062271012819
ENID PRINE HIGH (CONTINUATION),California,†,†,–,†,†,–,062415002912
ENRIQUE CAMARENA JR. HIGH,California,28.2,28.7,–,24.4,24.18,–,060690011595
ENSLEN ELEMENTARY,California,14.6,17,–,24.32,22.41,–,062513003730
ENTERPRISE ALTERNATIVE,California,9.22,10.41,–,13.12,11.91,–,060903009760
ENTERPRISE COMMUNITY DAY,California,2,2,–,8.5,5.5,–,061281007442
ENTERPRISE HIGH,California,52.2,52.2,–,23.52,24.69,–,063660006210
ENTERPRISE HIGH,California,5.18,5.15,–,11.78,9.51,–,061949008865
ENTERPRISE MIDDLE,California,24.01,30.5,–,24.45,20.03,–,060962004608
ENTERPRISE PLUS,California,2,2,–,23,24.5,–,063660012154
ENTERPRISE SECONDARY,California,5,5,–,12.4,12,–,069101709021
ENVIRONMENTAL ACAD OF RESEARCH TECH AND EARTH SCIS,California,22,22,–,24.23,24.45,–,060964012393
ENVIRONMENTAL CHARTER HIGH,California,26.5,21.25,–,20.26,22.78,–,062121008718
ENVIRONMENTAL CHARTER MIDDLE,California,13,9,–,24.85,23.56,–,069107812673
ENVIRONMENTAL CHARTER MIDDLE - INGLEWOOD,California,–,†,†,–,†,†,069107813591
ENVISION ACADEMY FOR ARTS & TECHNOLOGY,California,14,15,–,23.64,22.2,–,069105110947
EPIPHANY PREP CHARTER,California,–,†,†,–,†,†,063432013053
EQUITAS ACADEMY CHARTER,California,17,13,–,26.71,18.46,–,062271012479
EQUITAS ACADEMY CHARTER #2,California,–,†,†,–,†,†,062271013145
ERIC WHITE ELEMENTARY,California,21.77,19.82,–,24.35,24.67,–,063627006182
ERICSON ELEMENTARY,California,24,24,–,26,25.33,–,061455001724
ERICSON ELEMENTARY,California,35.03,36,–,22.1,21.56,–,063432005453
ERLE STANLEY GARDNER MIDDLE,California,42.56,39.48,–,26.34,26.75,–,060002811187
ERMA B. REESE ELEMENTARY,California,25.17,24.5,–,25.31,25.63,–,062223002646
ERMA DUNCAN POLYTECHNICAL HIGH,California,40.21,44.1,–,24.5,21.84,–,061455008841
ERNEST GARCIA ELEMENTARY,California,24.52,26.38,–,28.75,28.28,–,063237003848
ERNEST LAWRENCE MIDDLE,California,55,62.01,–,28.49,26.59,–,062271003128
ERNEST O. LAWRENCE ELEMENTARY,California,26,24,–,24.12,26.75,–,061488001857
ERNEST P. WILLENBERG SPECIAL EDUCATION CENTER,California,25.83,23.87,–,8.94,9.05,–,062271007766
ERNEST R. GEDDES ELEMENTARY,California,36,34.5,–,19.58,20.52,–,060369000331
ERNEST RIGHETTI HIGH,California,88.2,91,–,24.67,24.12,–,063567006083
ERNEST S. MCBRIDE SR. HIGH,California,–,†,†,–,†,†,062250013105
ERNESTO GALARZA ELEMENTARY,California,22.15,20.8,–,22.93,24.62,–,063459010411
ERNIE PYLE ELEMENTARY,California,19,20,–,29.42,28,–,060444000403
ERWIN ELEMENTARY,California,34,35,–,23,23.31,–,062271002991
ESCALON CHARTER ACADEMY,California,0.60,†,†,61.67,†,†,061284013059
ESCALON HIGH,California,36.24,37.82,–,23.81,24.46,–,061284001448
ESCALONA ELEMENTARY,California,20.2,20.7,–,26.58,25.89,–,062769004163
ESCHOLAR ACADEMY,California,6.26,6,–,19.33,23.5,–,062502010699
ESCONDIDO CHARTER HIGH,California,45.85,41.5,–,19.02,21.16,–,061291006493
ESCONDIDO COMMUNITY DAY,California,3.4,2.4,†,9.71,8.33,†,061291012789
ESCONDIDO ELEMENTARY,California,29.34,29.1,–,19.53,19.79,–,062961004584
ESCONDIDO HIGH,California,110,110.6,–,24.05,24.64,–,061291001465
ESCUELA POPULAR ACCELERATED FAMILY LEARNING,California,21,19.79,–,15.1,16.62,–,061182010666
ESCUELA POPULAR/CENTER FOR TRAINING AND CAREERS F,California,12.1,11.25,–,74.96,–,–,061182011449
ESHELMAN AVENUE ELEMENTARY,California,27,27,–,23.26,24.44,–,062271002992
ESPARTO HIGH,California,14.6,15.34,–,18.63,19.23,–,061293001470
ESPARTO K-8,California,21.5,26,–,32.09,27.38,–,061293001469
ESPERANZA,California,8,8,–,13.25,14.13,–,063386005297
ESPERANZA ELEMENTARY,California,29,33,–,26.66,25.3,–,062271000451
ESPERANZA ELEMENTARY,California,37,40,–,27.78,26.9,–,064212011319
ESPERANZA ELEMENTARY,California,15,18,–,21.4,18.28,–,062805004317
ESPERANZA HIGH,California,0.80,1.8,–,85,31.67,–,061035009776
ESPERANZA HIGH,California,75.56,75.97,–,24.92,25.05,–,063066004758
ESPERANZA HIGH (CONTINUATION),California,1.4,1.6,–,20,18.75,–,060005102015
ESPLANADE ELEMENTARY,California,25.49,26.49,–,17.85,18.16,–,062865004427
ESTANCIA HIGH,California,55.31,51.16,–,23.12,25.63,–,062724004114
ESTHER L. WALTER ELEMENTARY,California,22.05,23,–,25.85,24.87,–,062343003565
ESTHER LINDSTROM ELEMENTARY,California,33,31.4,–,26.12,26.31,–,060444000400
ESTRELLA ELEMENTARY,California,23,22,–,22.91,22.45,–,062271012674
ESTRELLITA CONTINUATION HIGH,California,7.33,8.01,–,19.37,19.23,–,061482001820
ESTUDILLO ELEMENTARY,California,19,20,–,30,30.85,–,063444011032
ETHAN A CHASE MIDDLE,California,36.75,35,–,27.48,26.69,–,063339012127
ETHAN B. ALLEN ELEMENTARY,California,29.2,27.2,–,28.12,29.93,–,061488001823
ETHEL DWYER MIDDLE,California,46.01,42,–,27.49,29.64,–,061803002215
ETHEL I. BAKER ELEMENTARY,California,19,24.2,–,31.79,27.73,–,063384005239
ETHEL KUCERA MIDDLE,California,49.96,50.9,–,24.68,24.79,–,063237003852
ETHEL M. EVANS ELEMENTARY,California,20.5,21.5,–,25.17,26.23,–,061488001840
ETHEL PHILLIPS ELEMENTARY,California,18.9,17.58,–,23.23,23.49,–,063384005240
ETIWANDA COLONY ELEMENTARY,California,31,32,–,28.16,27.91,–,061296011094
ETIWANDA COMMUNITY DAY,California,1,1,–,3,6,–,061296012260
ETIWANDA HIGH,California,117.7,114.97,–,27.7,27.64,–,060816008807
ETIWANDA INTERMEDIATE,California,49.17,47.7,–,25.38,26.44,–,061296001471
ETNA COMMUNITY DAY,California,–,–,–,–,–,–,060015910677
ETNA ELEMENTARY,California,8.55,8.5,–,23.98,24.82,–,060015901473
ETNA UNION HIGH,California,13.84,14.55,–,14.74,12.65,–,060015901474
ETTERSBURG ELEMENTARY,California,†,1,–,–,9,–,063759007879
EUCALYPTUS,California,37,41.5,–,27.59,23.86,–,061668002093
EUCALYPTUS ELEMENTARY,California,22.5,22,–,29.69,29,–,060001409076
EUCLID AVENUE ELEMENTARY,California,38,44,–,24.76,23.64,–,062271002993
EUCLID ELEMENTARY,California,30,30,–,19.7,19.73,–,062847004398
EUCLID ELEMENTARY,California,32,32.7,–,19.38,19.66,–,063432005454
EUGENE A. OBREGON,California,†,10,–,–,5.4,–,061218012230
EUGENE PADAN ELEMENTARY,California,27.16,32.7,–,23.23,20.37,–,064059006706
EUREKA COMMUNITY,California,4,4,–,30.25,32.5,–,069100910794
EUREKA DUNES HIGH,California,†,0.75,–,–,2.67,–,060495007501
EUREKA SENIOR HIGH,California,55.2,59.4,–,20.69,21.23,–,060005201477
EV CAIN 21ST CENTURY STEM CHARTER,California,33.85,34.7,–,21.12,21.15,–,060348000265
EVANGELINE ROBERTS INSTITUTE OF LEARNING,California,3.75,3.25,†,32.8,9.54,†,063432012560
EVANS RANCH ELEMENTARY,California,25,29,–,26.44,25.83,–,062454011716
EVELYN CARR ELEMENTARY,California,16.2,16.2,–,22.9,23.27,–,063942006554
EVELYN HANSHAW MIDDLE,California,28.59,30.83,–,26.69,23.87,–,062513010333
EVEREST PUBLIC HIGH,California,23,16,–,16.65,18.75,–,060133412395
EVERETT A. REA ELEMENTARY,California,24.48,23,–,20.87,20.7,–,062724007193
EVERETT ALVAREZ HIGH,California,97.45,98.65,–,24.39,23.24,–,063398004694
EVERETT MIDDLE,California,31.03,31.2,–,13.08,11.12,–,063441007842
EVERGREEN AVENUE ELEMENTARY,California,43,44,–,20.84,20.43,–,062271002994
EVERGREEN COMMUNITY DAY (5-8),California,0.50,0.50,–,4,4,–,061317007461
EVERGREEN COMMUNITY DAY K-5,California,0.50,0.50,–,8,12,–,061317012160
EVERGREEN CONTINUATION,California,4.5,4.01,–,25.78,25.19,–,062271002995
EVERGREEN ELEMENTARY,California,19.8,22.13,–,27.68,25.03,–,064128006838
EVERGREEN ELEMENTARY,California,24.33,23,–,21.66,21,–,061317001500
EVERGREEN ELEMENTARY,California,21.5,17.9,–,23.3,21.28,–,064338007024
EVERGREEN ELEMENTARY,California,31.3,26.78,–,18.72,22.11,–,060363007098
EVERGREEN ELEMENTARY,California,25.5,28.05,–,18.94,17.83,–,061185001313
EVERGREEN ELEMENTARY,California,29,29.65,–,25.34,25.06,–,061314001492
EVERGREEN ELEMENTARY,California,25,22,–,25.6,29.59,–,060994001077
EVERGREEN ELEMENTARY,California,1,1,–,7,6,–,064158012499
EVERGREEN HIGH,California,1.5,2.24,–,26,18.3,–,060016010254
EVERGREEN MIDDLE,California,19.84,21.5,–,21.57,21.16,–,061317004183
EVERGREEN MIDDLE,California,2.45,3.08,–,4.9,4.55,–,064158012545
EVERGREEN VALLEY HIGH,California,100.83,99.94,–,26.71,26.31,–,061182010665
EWING ELEMENTARY,California,29,28,–,23.55,25.68,–,061455001725
EXCEL ACAD: COLLEGIATE SPORTS HEALTH SCI PREPARATO,California,7,6.25,–,21.29,27.36,–,069103111968
EXCEL HIGH,California,1,1,–,13,8,–,060004707366
EXCEL PREP CHARTER,California,5,0.50,–,20.6,118,–,063417012557
EXCEL PREP CHARTER - IE,California,18,†,†,†,†,†,062778013024
EXCELSIOR CHARTER,California,50.83,50.08,–,28.92,25.9,–,063697205058
EXCELSIOR ELEMENTARY,California,24.68,23.74,–,24.03,22.33,–,061308008254
EXCELSIOR ELEMENTARY,California,20,20,–,26.05,25.25,–,061488001841
EXCELSIOR MIDDLE,California,24.89,22.9,–,25.15,26.46,–,060675000595
EXECUTIVE PREPARATORY ACADEMY OF FINANCE,California,–,†,†,–,†,†,062271013527
EXETER COMMUNITY DAY,California,–,–,–,–,–,–,061323008662
EXETER HIGH,California,–,–,–,–,–,–,061323001504
EXETER INDEPENDENT STUDY (ALTERNATIVE),California,–,–,–,–,–,–,061323007466
EXETER UNION COMMUNITY DAY,California,–,–,–,–,–,–,061320011527
EXPLORER ELEMENTARY,California,13.2,13.2,–,27.42,25.76,–,063432008602
EXTERA PUBLIC,California,14.5,11,†,22.83,21,†,062271012982
EXTERA PUBLIC SCHOOL NO. 2,California,–,†,†,–,†,†,062271013316
EZEKIEL BALDERAS ELEMENTARY,California,27,25.5,–,25.19,26.59,–,061455010209
EZEQUIEL TAFOYA ALVARADO ACADEMY,California,15,14,–,25.67,26.43,–,062334010951
F. D. ROOSEVELT ELEMENTARY,California,16,16,–,25.63,23.19,–,062121002541
FAIR AVENUE ELEMENTARY,California,41.5,48,–,24.34,25.1,–,062271002996
FAIR OAKS ELEMENTARY,California,36.55,36.25,–,22.63,22.9,–,060006204234
FAIR OAKS ELEMENTARY,California,19.3,21.9,–,20.98,19.36,–,063213004964
FAIR OAKS ELEMENTARY,California,16.4,18.75,–,23.9,21.76,–,062637003946
FAIR OAKS RANCH COMMUNITY,California,37.1,36,–,25.26,26.53,–,063822010536
FAIR VIEW HIGH (CONTINUATION),California,12.66,12.86,–,18.01,16.87,–,060837000818
FAIRBANKS ELEMENTARY,California,21.9,21.4,–,19.22,18.79,–,060133201202
FAIRBURN AVENUE ELEMENTARY,California,17.5,18,–,24.69,25.5,–,062271002997
FAIRFAX ELEMENTARY,California,11,13,–,32.91,27.23,–,063417007277
FAIRFAX MIDDLE,California,36.86,36,–,21.46,21.28,–,061329011599
FAIRFAX SENIOR HIGH,California,90.5,93.87,–,25.78,25.64,–,062271002998
FAIRFIELD ELEMENTARY,California,2,2,–,25.5,26.5,–,061062005547
FAIRFIELD HIGH,California,62.13,66.05,–,21.39,22.74,–,061336001516
FAIRFIELD-SUISUN ELEMENTARY COMMUNITY DAY,California,1,1,–,7,9,–,061336011867
FAIRGROVE ACADEMY,California,39,38.6,–,23.9,24.02,–,061632507159
FAIRGROVE ELEMENTARY,California,18.1,17.5,–,26.24,26.34,–,062308003525
FAIRHAVEN ELEMENTARY,California,28.52,27,–,19.39,19.19,–,062865004428
FAIRLANDS ELEMENTARY,California,28.5,31.59,–,26.7,23.27,–,060002009286
FAIRLAWN ELEMENTARY,California,25.77,24.77,–,28.21,27.86,–,060558009316
FAIRMEAD ELEMENTARY,California,18.01,17.4,–,26.54,24.94,–,060852000848
FAIRMEADOW ELEMENTARY,California,24.16,24.77,–,21.73,20.35,–,062961004585
FAIRMONT CHARTER ELEMENTARY,California,29.89,27,–,20.78,22.56,–,064059006701
FAIRMONT ELEMENTARY,California,23,24,–,25.65,23.13,–,063255005029
FAIRMONT ELEMENTARY,California,32,32.75,–,29.25,30.14,–,063066004759
FAIRMONT ELEMENTARY,California,23.87,23.37,–,19.69,20.41,–,063525005970
FAIRMOUNT ELEMENTARY,California,19.03,19,–,20.55,20.37,–,063441005607
FAIRVALLEY HIGH (CONTINUATION),California,11.18,13,–,18.16,13.08,–,061005001090
FAIRVIEW ELEMENTARY,California,18.75,18.35,–,24.32,25.89,–,060004507091
FAIRVIEW ELEMENTARY,California,18.5,20,–,29.03,27.2,–,061605002004
FAIRVIEW ELEMENTARY,California,34,39.5,–,26.56,22.35,–,062513003732
FAIRVIEW ELEMENTARY,California,27.5,28,–,21.67,21.43,–,061336001518
FAIRVIEW ELEMENTARY,California,20.06,22.06,–,29.36,26.25,–,064116006791
FAIRVIEW ELEMENTARY,California,19,22.08,–,25.89,21.29,–,061674002113
FAIRVIEW MIDDLE,California,26.6,26.5,–,25.19,24.3,–,060004607184
FAIRWOOD ELEMENTARY,California,18,15,–,20.72,20.8,–,063846007433
FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE,California,6,6.03,–,25.5,22.55,–,061674005622
FALL RIVER COMMUNITY DAY,California,1,1,–,5,7,–,061347008371
FALL RIVER ELEMENTARY,California,14,15,–,20.57,18.73,–,061347001535
FALL RIVER ELEMENTARY COMMUNITY DAY,California,1,1,–,2,2,–,061347010418
FALL RIVER JUNIOR-SENIOR HIGH,California,15.24,15.99,–,15.88,14.7,–,061347001536
FALLBROOK HIGH,California,109.6,112.6,–,22.77,23.39,–,061353001545
FALLBROOK STREET ELEMENTARY,California,27.4,25,–,25.55,29.28,–,061350001539
FALLER ELEMENTARY,California,18.5,18.5,–,25.19,27.19,–,063680006242
FALLSVALE ELEMENTARY,California,2,2,–,26,26,–,060423000383
FAME PUBLIC CHARTER,California,65.8,63,–,21.29,25.29,–,069105110546
FAMILY PARTNERSHIP HOME STUDY CHARTER,California,18.65,20.58,–,18.77,16.08,–,060528011789
FAMILY TREE LEARNING CENTER,California,4,3.1,–,27.75,25.16,–,061692011022
FAMMATRE ELEMENTARY,California,21.5,21.5,–,25.21,23.3,–,060714000652
FANCHER CREEK ELEMENTARY,California,24,24,–,29.04,28.21,–,060903009530
FAR EAST COUNTY PROGRAMS,California,15.8,16.8,–,6.14,5.89,–,069100510748
FAR WEST,California,†,10.1,–,–,15.54,–,062805011560
FARALLONE VIEW ELEMENTARY,California,14.5,15,–,26.07,26.47,–,060678000598
FARB MIDDLE,California,25,28.8,–,22.16,20.56,–,063432005456
FARJARDO - LA SEDA PRESCHOOL,California,–,†,†,–,†,†,063375013361
FARMDALE ELEMENTARY,California,41.5,41,–,21.45,21.27,–,064188012082
FARMDALE ELEMENTARY,California,26.5,28,–,18.26,18.5,–,062271002999
FARMERSVILLE HIGH,California,30.13,28.93,–,24.46,23.09,–,060003507903
FARMERSVILLE JUNIOR HIGH,California,21.15,30,–,19.24,20.4,–,060003501547
FARMINGTON ELEMENTARY,California,5,7,–,21,16.57,–,061284001449
FARNHAM CHARTER,California,22,24.5,–,24.27,22.12,–,060714000653
FARR AVENUE ELEMENTARY,California,29,30,–,24.72,24.63,–,061288011129
FARRAGUT ELEMENTARY,California,23,23,–,24.35,23.96,–,061026001119
FATHER KEITH B. KENNY,California,12,11.7,–,26.08,26.15,–,063384001089
FATHER'S HEART CHARTER,California,1,4.65,†,88,15.48,†,062955012889
FAY ELEMENTARY,California,33.5,35,–,21.4,20.14,–,063432005484
FAYLANE ELEMENTARY,California,24.3,25,–,26.5,25.96,–,061488001842
FEASTER (MAE L.) CHARTER,California,58,54,–,18,19.87,–,060861000858
FEATHER FALLS ELEMENTARY,California,1,1.8,–,14,8.33,–,061371001552
FEATHER RIVER ACADEMY,California,8.1,7.4,–,14.2,18.38,–,069104211997
FEDDE (PHARIS F.) MIDDLE,California,24.1,25.5,–,18.3,17.61,–,060162000020
FEDERAL TERRACE ELEMENTARY,California,14.2,17.7,–,28.45,23.5,–,064074006725
FEINSTEIN (DIANNE) ELEMENTARY,California,24,24,–,21.54,20.17,–,063441011772
FELICITA ELEMENTARY,California,30,29,–,24.43,23.03,–,061288001454
FELICITAS AND GONZALO MENDEZ HIGH,California,23.33,19.62,–,14.92,18.3,–,062271012438
FELIX J. APPLEBY ELEMENTARY,California,27,27,–,21.15,19.67,–,062964004599
FELTON ELEMENTARY,California,29.2,28.27,–,19.35,20.59,–,062142002564
FENTON AVENUE CHARTER,California,30,51,–,21.77,18.84,–,062271003000
FENTON PRIMARY CENTER,California,38,26,–,19.05,20.19,–,062271012019
FERN BACON MIDDLE,California,22.39,17.98,–,32.43,37.26,–,063384005241
FERN DRIVE ELEMENTARY,California,19,19,–,30.79,29.58,–,061473001792
FERN ELEMENTARY,California,19.2,19.5,–,26.2,25.54,–,063942006558
FERNANDO PULLUM PERFORMING ARTS HIGH,California,†,†,–,†,†,–,062271012037
FERNANDO R. LEDESMA CONTINUATION HIGH,California,18.62,17.34,–,22.18,23.47,–,061212001367
FERNANDO RIVERA INTERMEDIATE,California,19,19.33,–,24,24.62,–,061887002283
FERNANGELES ELEMENTARY,California,37,36,–,19.89,20.47,–,062271003001
FERNDALE ELEMENTARY,California,14,16,–,26,21.63,–,060003701550
FERNDALE HIGH,California,10.21,10.51,–,14.79,13.13,–,060003701551
FERRIS SPANGER ELEMENTARY,California,18,20,–,25.28,22,–,063360010034
FESLER (ISAAC) JUNIOR HIGH,California,40.25,37.5,–,21.66,21.65,–,060558009317
FIDDYMENT FARM,California,–,†,†,–,†,†,063360013287
FIELD (EUGENE) ELEMENTARY,California,20,18,–,25.7,24.67,–,062994004668
FIELD ELEMENTARY,California,16.5,15.5,–,16.48,19.48,–,063432005458
FIELDBROOK ELEMENTARY,California,8,7,–,17.38,18.29,–,061374001553
FIESTA GARDENS INTERNATIONAL ELEMENTARY,California,22.8,20,–,21.58,24.3,–,063492002791
FIFTEENTH STREET ELEMENTARY,California,26,27,–,22.54,23.04,–,062271003002
FIFTY-FOURTH STREET ELEMENTARY,California,16,16,–,22,23.19,–,062271003003
FIFTY-NINTH STREET ELEMENTARY,California,16,16,–,24.38,23.88,–,062271003004
FIFTY-SECOND STREET ELEMENTARY,California,35.5,34.01,–,22.25,24.08,–,062271003005
FIGARDEN ELEMENTARY,California,26,24.7,–,25.77,28.14,–,061455008842
FIGUEROA STREET ELEMENTARY,California,19,18,–,24.95,24.61,–,062271003006
FILLMORE ELEMENTARY,California,29.59,34.58,–,29.54,26,–,063801006406
FILLMORE MIDDLE,California,35.4,33,–,24.58,25,–,061380001554
FILLMORE SENIOR HIGH,California,44.01,43.89,–,23.49,23.22,–,061380001555
FILM AND THEATRE ARTS CHARTER HIGH,California,†,†,–,†,†,–,062271011638
FINE ARTS ACADEMY,California,9.59,10.31,–,25.34,22.31,–,060330008624
FINLEY ELEMENTARY,California,19.5,17,–,22.46,24.71,–,064215010266
FINNEY (MYRTLE S.) ELEMENTARY,California,23,22.5,–,17.91,19.42,–,060861000859
FIPPS PRIMARY,California,23,23,–,21.83,21.09,–,060004005119
FIREBAUGH COMMUNITY DAY,California,0.57,0.14,†,3.51,21.43,†,061384012917
FIREBAUGH HIGH,California,29.99,31.24,–,22.71,20.93,–,061384001561
FIREBAUGH MIDDLE,California,21.13,19.57,–,24.51,26.37,–,061384001562
FIRST AVENUE MIDDLE,California,31.73,31.43,–,24.87,25.42,–,060297000228
FIRST STREET,California,18.5,22,–,25.14,20.86,–,064214008552
FIRST STREET ELEMENTARY,California,33,33,–,24.64,25.15,–,062271003009
FISHBURN AVENUE ELEMENTARY,California,28,28,–,23.04,23.36,–,062271007755
FIVE KEYS ADULT SCHOOL (SF SHERIFF'S),California,2.15,2.5,–,62.33,38,–,063441012373
FIVE KEYS CHARTER (SF SHERIFF'S),California,15.3,10.1,–,32.09,28.71,–,063441011407
FIVE KEYS INDEPENDENCE HS (SF SHERIFF'S),California,12.16,11.81,–,35.61,26.5,–,063441012256
FLETCHER DRIVE ELEMENTARY,California,19,20,–,22.68,24.75,–,062271003012
FLETCHER ELEMENTARY,California,13.33,13.93,–,24.46,24.26,–,062865004429
FLETCHER ELEMENTARY,California,14,14.7,–,18.29,18.5,–,063432005459
FLETCHER HILLS ELEMENTARY,California,22.13,21,–,30.09,30.48,–,062025002428
FLETCHER WALKER ELEMENTARY,California,8,7,–,16.75,19.14,–,064230006922
FLORA VISTA ELEMENTARY,California,22.2,22.6,–,21.85,20.62,–,061275001435
FLORENCE AVENUE ELEMENTARY,California,33,36,–,24.33,23.5,–,062271003013
FLORENCE E. RATA,California,8,8,–,8.25,7.88,–,061455007964
FLORENCE ELEMENTARY,California,18,20.25,–,16.89,15.6,–,063432005460
FLORENCE GRIFFITH JOYNER ELEMENTARY,California,32,33,–,22.03,24.42,–,062271003244
FLORENCE MARKOFER ELEMENTARY,California,29,29.2,–,24.38,24.11,–,061233001406
FLORENCE NIGHTINGALE MIDDLE,California,49.83,60.02,–,19.02,17.71,–,062271003215
FLORIN ELEMENTARY,California,25.9,24,–,25.1,25.92,–,061233001399
FLORIN HIGH,California,59.07,58.9,–,26.56,26.67,–,061233009534
FLORY ACADEMY OF SCIENCES AND TECHNOLOGY,California,18.1,19.6,–,26.69,24.64,–,062569007783
FLOURNOY ELEMENTARY,California,2,2,–,16.5,17,–,061386001564
FLOWERY ELEMENTARY,California,14,17.36,–,24.07,19.53,–,063720006301
FLOYD A. SCHELBY,California,6.5,5,–,8.31,9,–,069102011944
FLOYD I. MARCHUS,California,17.8,18.8,–,6.97,7.23,–,069100509217
FLOYD M. STORK ELEMENTARY,California,25,29,–,29.32,26.45,–,060216000097
FLYING HILLS ELEMENTARY,California,22,20,–,24.36,25.15,–,060681000613
FLYNN (LEONARD R.) ELEMENTARY,California,24.5,25.6,–,19.22,18.67,–,063441005640
