School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
ABRAHAM LINCOLN HIGH,California,CA ,ABRAHAM LINCOLN HIGH,063459005696,SAN JOSE UNF,0634590,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95126,555 DANA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN MIDDLE,California,CA ,ABRAHAM LINCOLN MIDDLE,063627001989,SELMA UNF,0636270,FRESNO COUNTY,06019,Reported 7 categories,06,1993-2014,1986-1992,SELMA,CA ,93662,1239 NELSON BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN SENIOR HIGH,California,CA ,ABRAHAM LINCOLN SENIOR HIGH,062271003139,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90031,3501 N. BRD.WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAXAS CONTINUATION HIGH,California,CA ,ABRAXAS CONTINUATION HIGH,063153004883,POWAY UNF,0631530,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,POWAY,CA ,92064,12450 GLENOAK RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAXIS CHARTER,California,CA ,ABRAXIS CHARTER,063583011483,SANTA ROSA HIGH,0635830,SONOMA COUNTY,06097,Reported 7 categories,06,2005-2014,1986-2004,SANTA ROSA,CA ,95401,1207 CLEVELAND AVE.,1-Regular school,2-Local school district that is a component of a supervisory union,1-Currently operational ,1-Yes
ACACIA ELEMENTARY,California,CA ,ACACIA ELEMENTARY,061473001790,FULLERTON ELEM,0614730,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,FULLERTON,CA ,92831,1200 N. ACACIA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACACIA ELEMENTARY,California,CA ,ACACIA ELEMENTARY,060964001004,CONEJO VALLEY UNF,0609640,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2014,,THOUSAND OAKS,CA ,91360,55 NORMAN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACACIA MIDDLE,California,CA ,ACACIA MIDDLE,061692002148,HEMET UNF,0616920,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,HEMET,CA ,92543,1200 E. ACACIA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACAD OF ENVIRONMENTAL & SOC POLICY (ESP) AT ROOSEV,California,CA ,ACADEMY OF ENVIRONMENTAL & SOCIAL POLICY (ESP) AT,062271012733,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2010-2014,1986-2009,LOS ANGELES,CA ,90031,3921 SELIG PL.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACADEMIA AVANCE CHARTER,California,CA ,ACADEMIA AVANCE CHARTER,069107810895,LOS ANGELES COUNTY OFFICE OF EDUCATION,0691078,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2010-2014,1986-2009,HIGHLAND PARK,CA ,90042,115 N. AVE. 53,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
ACADEMIA MODERNA,California,CA ,ACADEMIA MODERNA,062271012455,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2009-2014,1986-2008,WALNUT PARK,CA ,90255,2410 BRD.WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACADEMIC/VOCATIONAL CHARTER INSTITUTE,California,CA ,ACADEMIC/VOCATIONAL CHARTER INSTITUTE,062949008366,PAJARO VALLEY UNF,0629490,SANTA CRUZ COUNTY,06087,Reported 7 categories,06,1999-2014,1986-1998,WATSONVILLE,CA ,95076,112 DIAMOND DR.,3-Vocational school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACADEMY FOR ACADEMIC EXCELLENCE,California,CA ,ACADEMY FOR ACADEMIC EXCELLENCE,060001707296,APPLE VALLEY UNF,0600017,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1997-2014,1986-1996,APPLE VALLEY,CA ,92307,17500 MANA RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACADEMY FOR CHANGE,California,CA ,ACADEMY FOR CHANGE,060837011853,CHICO UNF,0608370,BUTTE COUNTY,06007,Reported 7 categories,06,2006-2014,1986-2005,CHICO,CA ,95926,290 E. AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACADEMY OF ARTS AND SCIENCES,California,CA ,ACADEMY OF ARTS AND SCIENCES,063441012526,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,2009-2014,1986-2008,SAN FRANCISCO,CA ,94131,555 PORTOLA DR.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACADEMY OF CAREERS AND EXPLORATION,California,CA ,ACADEMY OF CAREERS AND EXPLORATION,061686012368,HELENDALE ELEM,0616860,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2008-2014,1986-2007,HELENDALE,CA ,92342,13943 RIVERS EDGE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACADEMY OF MEDICAL & HEALTH SCIENCES AT ROOSEVELT,California,CA ,ACADEMY OF MEDICAL & HEALTH SCIENCES AT ROOSEVELT,062271012783,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2010-2013,1986-2009 2014,,,,,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACADEMY OF PERFORMING ARTS AND FOREIGN LANGUAGE,California,CA ,ACADEMY OF PERFORMING ARTS AND FOREIGN LANGUAGE,064104010367,VICTOR ELEM,0641040,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2001-2014,1986-2000,VICTORVILLE,CA ,92395,14907 S. MOJAVE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACADEMY OF PERSONALIZED LEARNING,California,CA ,ACADEMY OF PERSONALIZED LRN,061495012533,GATEWAY UNF,0614950,SHASTA COUNTY,06089,Reported 7 categories,06,2009-2014,1986-2008,REDDING,CA ,96002,2195 LARKSPUR LN. STE. 100,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,CA ,SATICOY ELEMENTARY,064098006765,VENTURA UNF,0640980,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2014,,VENTURA,CA ,93004,760 JAZMIN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACADEMY OF THE CANYONS,California,CA ,ACADEMY OF THE CANYONS,064251008517,WILLIAM S. HART UNION HIGH,0642510,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2000-2014,1986-1999,SANTA CLARITA,CA ,91355,26455 ROCKWELL CANYON RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACADEMY OF THE REDWOODS,California,CA ,ACADEMY OF THE REDWOODS,061419010801,FORTUNA UNION HIGH,0614190,HUMBOLDT COUNTY,06023,Reported 7 categories,06,2005-2014,1986-2004,EUREKA,CA ,95501,7351 TOMPKINS HILL RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACALANES CENTER FOR INDEPENDENT STUDY,California,CA ,ACALANES CENTER FOR INDEPENDENT STUDY,060165010751,ACALANES UNION HIGH,0601650,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,2004-2014,1986-2003,WALNUT CREEK,CA ,94595,1963 TICE VALLEY BLVD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACALANES HIGH,California,CA ,ACALANES HIGH,060165000032,ACALANES UNION HIGH,0601650,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1986-2014,,LAFAYETTE,CA ,94549,1200 PLEASANT HILL RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACCELERATED,California,CA ,ACCELERATED,062271003245,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1994-2014,1986-1993,LOS ANGELES,CA ,90037,4000 S. MAIN ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACCELERATED ACHIEVEMENT ACADEMY,California,CA ,ACCELERATED ACHIEVEMENT ACADEMY,061734012565,HOLLISTER,0617340,SAN BENITO COUNTY,06069,Reported 7 categories,06,2009-2014,1986-2008,HOLLISTER,CA ,95023,1151 BUENA VISTA RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ACCELERATED ACHIEVEMENT ACADEMY,California,CA ,ACCELERATED ACHIEVEMENT ACADEMY,064030010552,UKIAH UNF,0640300,MENDOCINO COUNTY,06045,Reported 7 categories,06,2002-2014,1986-2001,UKIAH,CA ,95482,1031 N. STATE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACCELERATED ELEMENTARY CHARTER,California,CA ,ACCELERATED ELEMENTARY CHARTER,062271010830,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2004-2014,1986-2003,LOS ANGELES,CA ,90011,119 E. 37TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACCESS COUNTY COMMUNITY,California,CA ,ACCESS COUNTY COMMUNITY,069102410567,ORANGE COUNTY DEPARTMENT OF EDUCATION,0691024,ORANGE COUNTY,06059,Reported 7 categories,06,2002-2014,1986-2001,COSTA MESA,CA ,92628,200 KALMUS DR.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ACCESS JUVENILE HALL,California,CA ,ACCESS JUVENILE HALL,069102409236,ORANGE COUNTY DEPARTMENT OF EDUCATION,0691024,ORANGE COUNTY,06059,Reported 7 categories,06,1987-2014,1986,SANTA ANA,CA ,92705,1715 E. WILSHIRE AVE.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ACE EMPOWER ACADEMY,California,CA ,ACE CHARTER,069103512198,SANTA CLARA COUNTY OFFICE OF EDUCATION,0691035,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2008-2014,1986-2007,SAN JOSE,CA ,95116,625 S. SUNSET AVE.,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
ACHIEVE ACADEMY,California,CA ,ACHIEVE ACADEMY,062805011561,OAKLAND UNF,0628050,ALAMEDA COUNTY,06001,Reported 7 categories,06,2006-2014,1986-2005,OAKLAND,CA ,94601,1700 28TH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,CA ,ACHIEVE CHARTER SCHOOL OF PARADISE INC.,062982011571,PARADISE UNF,0629820,BUTTE COUNTY,06007,Reported 7 categories,06,2005-2014,1986-2004,PARADISE,CA ,95969,771 ELLIOTT RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ACORN WOODLAND ELEMENTARY,California,CA ,ACORN WOODLAND ELEMENTARY,062805010730,OAKLAND UNF,0628050,ALAMEDA COUNTY,06001,Reported 7 categories,06,2004-2014,1986-2003,OAKLAND,CA ,94621,1025 81ST AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADA CLEGG ELEMENTARY,California,CA ,ADA CLEGG ELEMENTARY,064215012492,WESTMINSTER ELEM,0642150,ORANGE COUNTY,06059,Reported 7 categories,06,2009-2014,1986-2008,HUNTINGTON BEACH,CA ,92647,6311 LARCHWOOD DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADA GIVENS ELEMENTARY,California,CA ,ADA GIVENS ELEMENTARY,062460003686,MERCED CITY ELEM,0624600,MERCED COUNTY,06047,Reported 7 categories,06,1986-2014,,MERCED,CA ,95340,2900 GREEN ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADA S. NELSON ELEMENTARY,California,CA ,ADA S. NELSON ELEMENTARY,062289003501,LOS NIETOS,0622890,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WHITTIER,CA ,90606,8140 S. VICKI DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADA W. HARRIS ELEMENTARY,California,CA ,ADA W. HARRIS ELEMENTARY,060747000706,CARDIFF ELEM,0607470,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,CARDIFF-BY-THE-SEA,CA ,92007,1508 WINDSOR RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADALINE E. KENT MIDDLE,California,CA ,ADALINE E. KENT MIDDLE,061938002329,KENTFIELD ELEM,0619380,MARIN COUNTY,06041,Reported 7 categories,06,1986-2014,,KENTFIELD,CA ,94904,800 COLLEGE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAM (WILLIAM LAIRD) ELEMENTARY,California,CA ,ADAM (WILLIAM LAIRD) ELEMENTARY,060558009312,SANTA MARIA-BONITA,0605580,SANTA BARBARA COUNTY,06083,Reported 7 categories,06,1988-2014,1986-1987,SANTA MARIA,CA ,93458,500 W. WINDSOR,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAMS (J. DOUGLAS) MIDDLE,California,CA ,ADAMS (J. DOUGLAS) MIDDLE,060591011574,BRENTWOOD UNION ELEM,0605910,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,2006-2014,1986-2005,BRENTWOOD,CA ,94513,401 AMERICAN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAMS ELEMENTARY,California,CA ,ADAMS ELEMENTARY,062724009593,NEWPORT-MESA UNF,0627240,ORANGE COUNTY,06059,Reported 7 categories,06,1989-2014,1986-1988,COSTA MESA,CA ,92626,2850 CLUB HOUSE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAMS ELEMENTARY,California,CA ,ADAMS ELEMENTARY,063531005981,SANTA ANA UNF,0635310,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,SANTA ANA,CA ,92704,2130 S. RAITT ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAMS ELEMENTARY,California,CA ,ADAMS ELEMENTARY,063801006398,STOCKTON UNF,0638010,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1986-2014,,STOCKTON,CA ,95207,6402 INGLEWOOD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAMS ELEMENTARY,California,CA ,ADAMS ELEMENTARY,063315005129,RIVERSIDE UNF,0633150,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,RIVERSIDE,CA ,92504,8362 COLORADO AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAMS ELEMENTARY,California,CA ,ADAMS ELEMENTARY,063432005407,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92116,4672 35TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADAMS MIDDLE,California,CA ,ADAMS MIDDLE,060003204949,REDONDO BEACH UNF,0600032,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1993-2014,1986-1992,REDONDO BEACH,CA ,90278,2600 RIPLEY AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADDAMS ELEMENTARY,California,CA ,ADDAMS ELEMENTARY,061455001703,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93728,2117 W. MCKINLEY AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADDAMS ELEMENTARY,California,CA ,ADDAMS ELEMENTARY,062250002695,LONG BEACH UNF,0622500,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LONG BEACH,CA ,90805,5320 PINE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADDISON ELEMENTARY,California,CA ,ADDISON ELEMENTARY,062961004579,PALO ALTO UNF,0629610,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,PALO ALTO,CA ,94301,650 ADDISON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADELANTE DUAL LANGUAGE ACADEMY,California,CA ,ADELANTE DUAL LANGUAGE ACADEMY,060231011793,ALUM ROCK UNION ELEM,0602310,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2005-2014,1986-2004,SAN JOSE,CA ,95127,2999 RIDGEMONT DR.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADELANTE HIGH,California,CA ,ADELANTE HIGH,060006111814,RIVERBANK UNF,0600061,STANISLAUS COUNTY,06099,Reported 7 categories,06,2006-2014,1986-2005,RIVERBANK,CA ,95367,6801 SEVENTH ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADELANTE HIGH,California,CA ,ADELANTE HIGH,063227002047,REEF-SUNSET UNF,0632270,KINGS COUNTY,06031,Reported 7 categories,06,1993-2014,1986-1992,KETTLEMAN CITY,CA ,93239,701 GENERAL PETROLEUM ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADELANTE HIGH (CONTINUATION),California,CA ,ADELANTE HIGH (CONTINUATION),063363005189,ROSEVILLE JOINT UNION HIGH,0633630,PLACER COUNTY,06061,Reported 7 categories,06,1986-2014,,ROSEVILLE,CA ,95678,350 ATLANTIC ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ADELANTE SPANISH IMMERSION,California,CA ,ADELANTE SPANISH IMMERSION,063213007421,REDWOOD CITY ELEM,0632130,SAN MATEO COUNTY,06081,Reported 7 categories,06,1997-2014,1986-1996,REDWOOD CITY,CA ,94061,3150 GRANGER WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
